epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.81,0.83748,2.59496,1.24175,0.88492,0.05874,0.40658,0.31283,0.67835,3.26048,1.15645,0.00031108,0.00031108,0.00031108
2,311.341,0.92873,1.79099,1.29652,0.67806,0.4178,0.59505,0.36032,0.93936,2.73191,1.39676,0.000601923,0.000601923,0.000601923
3,474.235,0.92494,1.56204,1.28555,0.61592,0.67257,0.71822,0.49729,0.99781,2.2797,1.39557,0.000860869,0.000860869,0.000860869
4,627.441,0.90322,1.45417,1.26093,0.70067,0.59345,0.69366,0.43514,1.10038,2.21879,1.56668,0.000946016,0.000946016,0.000946016
5,938.931,0.8866,1.37132,1.25309,0.72406,0.64892,0.70017,0.48859,0.98156,2.11074,1.37807,0.000891022,0.000891022,0.000891022
6,1083.71,0.87387,1.29689,1.23564,0.77824,0.7706,0.82897,0.58287,0.9628,1.70945,1.32626,0.000836027,0.000836027,0.000836027
7,1230.36,0.86429,1.24,1.22261,0.8405,0.73254,0.85823,0.61767,0.93772,1.58041,1.32618,0.000781033,0.000781033,0.000781033
8,1379.11,0.82116,1.13897,1.21246,0.84246,0.83366,0.90397,0.65893,0.91376,1.39626,1.30947,0.000726038,0.000726038,0.000726038
9,1526.89,0.85388,1.14362,1.22135,0.88924,0.78215,0.87865,0.64643,0.89928,1.37058,1.27603,0.000671044,0.000671044,0.000671044
10,28058.5,0.79322,1.06597,1.18701,0.85511,0.78192,0.83826,0.62929,0.82069,1.41412,1.22026,0.000616049,0.000616049,0.000616049
11,28207.4,0.79942,1.37232,1.22268,0.78811,0.76361,0.79008,0.58937,0.86375,1.63478,1.27694,0.000561055,0.000561055,0.000561055
12,28390.3,0.72825,1.13449,1.18247,0.86655,0.86104,0.90485,0.70762,0.77826,1.21389,1.18271,0.00050606,0.00050606,0.00050606
13,28561.6,0.69062,1.0565,1.12671,0.93211,0.85314,0.93872,0.73487,0.77638,1.05055,1.1835,0.000451066,0.000451066,0.000451066
14,28728.9,0.67349,0.97438,1.11418,0.91498,0.87741,0.93214,0.70823,0.83231,1.03971,1.23162,0.000396071,0.000396071,0.000396071
15,28885.3,0.62987,0.92474,1.07611,0.91698,0.9074,0.95396,0.74497,0.80171,0.93332,1.18516,0.000341077,0.000341077,0.000341077
16,29036,0.59564,0.86278,1.05534,0.95492,0.8989,0.95687,0.75794,0.73048,0.90201,1.13499,0.000286083,0.000286083,0.000286083
17,29203.7,0.56886,0.80963,1.01079,0.91316,0.89445,0.95508,0.75909,0.74137,0.90834,1.15298,0.000231088,0.000231088,0.000231088
18,29367.9,0.5714,0.79662,1.03782,0.93942,0.89911,0.95692,0.76166,0.71174,0.84885,1.12591,0.000176094,0.000176094,0.000176094
19,29526.6,0.54448,0.77499,1.02096,0.93234,0.90415,0.95731,0.77415,0.69259,0.81683,1.11612,0.000121099,0.000121099,0.000121099
20,29676.5,0.5197,0.7434,0.99952,0.92056,0.91588,0.95269,0.7775,0.68287,0.79323,1.10624,6.61045e-05,6.61045e-05,6.61045e-05
