epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.707,0.75981,2.53377,1.18846,0.96467,0.19699,0.52142,0.39853,0.65052,3.0387,1.13243,0.000325,0.000325,0.000325
2,259.241,0.83431,1.6501,1.22991,0.71277,0.43433,0.56492,0.38407,0.96141,2.48542,1.43921,0.000636265,0.000636265,0.000636265
3,398.09,0.93442,1.579,1.31795,0.54152,0.52841,0.58136,0.38721,1.05492,2.46845,1.58347,0.0009208,0.0009208,0.0009208
4,549.736,0.91375,1.47795,1.28993,0.58089,0.55367,0.59473,0.39036,1.2067,2.60259,1.63163,0.0011015,0.0011015,0.0011015
5,697.148,0.97912,1.4472,1.30422,0.51342,0.51427,0.47962,0.30101,1.19407,2.85693,1.63249,0.001052,0.001052,0.001052
6,841.923,0.95055,1.36413,1.28932,0.68493,0.57512,0.6601,0.48992,0.89153,2.09081,1.36297,0.0010025,0.0010025,0.0010025
7,987.78,0.89305,1.27716,1.25458,0.74078,0.58749,0.67436,0.47506,0.98938,2.1154,1.4055,0.000953,0.000953,0.000953
8,1132.5,0.89931,1.36841,1.24868,0.72927,0.6661,0.71147,0.52145,0.94772,1.99681,1.43713,0.0009035,0.0009035,0.0009035
9,1311.35,0.85076,1.17087,1.2056,0.85281,0.70847,0.81164,0.58781,0.9242,1.60106,1.3553,0.000854,0.000854,0.000854
10,1462.1,0.83547,1.13536,1.2312,0.7654,0.81585,0.84777,0.60104,1.00569,1.43424,1.44668,0.0008045,0.0008045,0.0008045
11,1595.62,0.77234,1.02051,1.16137,0.83767,0.81242,0.86876,0.64503,0.92954,1.30039,1.34978,0.000755,0.000755,0.000755
12,1733.71,0.77194,0.98106,1.17268,0.84265,0.79587,0.87713,0.67121,0.81274,1.23987,1.25314,0.0007055,0.0007055,0.0007055
13,1872.3,0.76933,0.97833,1.16911,0.79985,0.80432,0.83665,0.63669,0.82366,1.41151,1.26229,0.000656,0.000656,0.000656
14,2020.9,0.76134,0.94546,1.16395,0.8805,0.84062,0.90878,0.71012,0.78095,1.06179,1.22442,0.0006065,0.0006065,0.0006065
15,2162,0.73749,0.89073,1.14961,0.90938,0.84993,0.91772,0.73012,0.77881,1.01263,1.23158,0.000557,0.000557,0.000557
16,2296.65,0.67627,1.07451,1.12123,0.81587,0.80857,0.86794,0.66462,0.80366,1.24943,1.25482,0.0005075,0.0005075,0.0005075
17,2429.68,0.63409,0.92238,1.09552,0.90197,0.82833,0.91173,0.70617,0.80655,1.07211,1.26305,0.000458,0.000458,0.000458
18,2561.81,0.60692,0.84254,1.0509,0.9191,0.84489,0.92863,0.744,0.738,0.9624,1.21043,0.0004085,0.0004085,0.0004085
19,2696.96,0.59513,0.8162,1.06278,0.88585,0.86496,0.90982,0.70877,0.75451,1.02118,1.20564,0.000359,0.000359,0.000359
20,2829.9,0.5666,0.77298,1.03715,0.90706,0.87188,0.92741,0.71861,0.73252,0.93002,1.18573,0.0003095,0.0003095,0.0003095
21,2963.43,0.58185,0.76004,1.05638,0.90632,0.89111,0.92479,0.73318,0.72217,0.87315,1.18212,0.00026,0.00026,0.00026
22,3097.77,0.52271,0.70481,1.00101,0.93247,0.87473,0.93269,0.74831,0.70801,0.84544,1.14824,0.0002105,0.0002105,0.0002105
23,3230.59,0.52294,0.69559,1.01273,0.89893,0.87094,0.92365,0.74572,0.68439,0.82209,1.13248,0.000161,0.000161,0.000161
24,3364.19,0.51012,0.66139,0.98653,0.92881,0.8438,0.92894,0.75936,0.64239,0.81844,1.10152,0.0001115,0.0001115,0.0001115
25,3497.34,0.48226,0.63117,0.98739,0.89054,0.8856,0.92719,0.76492,0.63739,0.80914,1.0878,6.2e-05,6.2e-05,6.2e-05
